id,scene,status,group,nearestHole,detailedSourceReinspection,requiredNextEvidenceOrChange
closeout-gap-009,gap-009,unresolved,distinct-crown-ground-policy,13,True,"Reconcile source-supported individual trees with the actual grass boundary and runtime margin. If the grass mapping is correct, a separately scoped exclusion-policy change needs source-catalogue trust, hard-surface controls, duplicate checks and renderer validation. Do not carve a canopy-shaped grass hole."
closeout-gap-012,gap-012,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-017,gap-017,unresolved,distinct-crown-ground-policy,2,True,"Reconcile source-supported individual trees with the actual grass boundary and runtime margin. If the grass mapping is correct, a separately scoped exclusion-policy change needs source-catalogue trust, hard-surface controls, duplicate checks and renderer validation. Do not carve a canopy-shaped grass hole."
closeout-gap-018,gap-018,unresolved,distinct-crown-ground-policy,16,True,"Reconcile source-supported individual trees with the actual grass boundary and runtime margin. If the grass mapping is correct, a separately scoped exclusion-policy change needs source-catalogue trust, hard-surface controls, duplicate checks and renderer validation. Do not carve a canopy-shaped grass hole."
closeout-gap-019,gap-019,unresolved,bunker-margin-base,16,False,Establish the base and bunker/grass boundary separately from the overhead crown. Preserve the bunker exclusion.
closeout-gap-021,gap-021,unresolved,crown-identity-and-ground,16,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-022,gap-022,unresolved,distinct-crown-ground-policy,6,True,"Reconcile source-supported individual trees with the actual grass boundary and runtime margin. If the grass mapping is correct, a separately scoped exclusion-policy change needs source-catalogue trust, hard-surface controls, duplicate checks and renderer validation. Do not carve a canopy-shaped grass hole."
closeout-gap-023,gap-023,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-024,gap-024,unresolved,road-base-and-retained-identity,16,False,Establish the base relative to the road using defensible source evidence. Preserve reserved tree-visby-003535 and prior candidate r5-111/dalponte-d9-m5/35; do not allocate another ID.
closeout-gap-029,gap-029,unresolved,crown-identity-and-ground,16,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-030,gap-030,unresolved,crown-identity-and-ground,2,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-031,gap-031,unresolved,crown-identity-and-ground,12,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-034,gap-034,unresolved,crown-identity-and-ground,16,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-037,gap-037,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-040,gap-040,unresolved,crown-identity-and-ground,16,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-041,gap-041,unresolved,tee-overhang-base,7,False,Establish the base separately from crown overhang at the tee/path junction. Preserve the tee and path exclusion.
closeout-gap-045,gap-045,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-049,gap-049,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-050,gap-050,unresolved,distinct-crown-ground-policy,9,True,"Reconcile source-supported individual trees with the actual grass boundary and runtime margin. If the grass mapping is correct, a separately scoped exclusion-policy change needs source-catalogue trust, hard-surface controls, duplicate checks and renderer validation. Do not carve a canopy-shaped grass hole."
closeout-gap-051,gap-051,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-053,gap-053,unresolved,crown-identity-and-ground,16,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-054,gap-054,unresolved,crown-identity-and-ground,9,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-061,gap-061,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-064,gap-064,unresolved,distinct-crown-ground-policy,8,True,"Reconcile source-supported individual trees with the actual grass boundary and runtime margin. If the grass mapping is correct, a separately scoped exclusion-policy change needs source-catalogue trust, hard-surface controls, duplicate checks and renderer validation. Do not carve a canopy-shaped grass hole."
closeout-gap-072,gap-072,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-076,gap-076,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
closeout-gap-077,gap-077,unresolved,crown-identity-and-ground,3,False,Resolve complete crown identity and the underlying ground/exclusion conflict together. Retain connected woodland and neighbouring IDs until then.
